                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.39549,                0.40263,                 1.5452,                0.78152,                0.45717,                0.88191,                0.65307,                0.60004,                0.45717,                0.88191,                0.65307,                0.56153,                 0.3501,                      0,                 3.0481,                0.51703,             0.00056361,             0.00056361,             0.00056361
                     51,                 0.3873,                0.37308,                 1.5219,                0.78369,                0.41583,                0.93658,                0.64793,                0.58686,                0.41583,                0.93658,                0.64793,                0.56061,                 0.3685,                      0,                 3.1759,                0.51826,             0.00055811,             0.00055811,             0.00055811
                     52,                 0.3954,                   0.37,                 1.4915,                0.78607,                0.45832,                0.88481,                0.64876,                0.59518,                0.45832,                0.88481,                0.64876,                0.56352,                0.35044,                      0,                 3.1359,                0.51737,             0.00055261,             0.00055261,             0.00055261
                     53,                0.39651,                0.36662,                 1.5093,                0.78264,                0.45457,                0.86883,                0.66444,                0.60972,                0.45457,                0.86883,                0.66444,                0.57734,                0.36196,                      0,                 3.1181,                0.51753,             0.00054711,             0.00054711,             0.00054711
                     54,                0.41726,                0.37173,                 1.4794,                0.78235,                0.45158,                0.85154,                0.69141,                0.62469,                0.45158,                0.85154,                0.69141,                0.58655,                0.37806,                      0,                  3.165,                0.51789,             0.00054162,             0.00054162,             0.00054162
                     55,                0.40504,                0.39479,                 1.4925,                0.78689,                0.46443,                0.84757,                0.71442,                0.64816,                0.46443,                0.84757,                0.71442,                0.61889,                0.36726,                      0,                 3.1392,                0.51872,             0.00053612,             0.00053612,             0.00053612
                     56,                0.39889,                0.38393,                 1.4951,                0.78436,                0.46583,                0.88887,                 0.7186,                 0.6576,                0.46583,                0.88887,                 0.7186,                0.62326,                0.35438,                      0,                 2.9998,                0.52065,             0.00053062,             0.00053062,             0.00053062
                     57,                0.39676,                0.38373,                 1.4687,                0.77669,                0.47338,                 0.8747,                0.71365,                0.65631,                0.47338,                 0.8747,                0.71365,                 0.6106,                0.36982,                      0,                 3.0317,                0.51938,             0.00052512,             0.00052512,             0.00052512
                     58,                0.40551,                0.38787,                 1.4696,                 0.7865,                0.50662,                0.87842,                0.70011,                0.64532,                0.50662,                0.87842,                0.70011,                0.60127,                0.35784,                      0,                 3.1912,                0.52018,             0.00051963,             0.00051963,             0.00051963
                     59,                0.39182,                0.37443,                 1.4795,                0.78206,                0.55816,                0.86067,                0.71888,                0.66488,                0.55816,                0.86067,                0.71888,                0.63321,                0.33529,                      0,                  2.996,                0.51822,             0.00051413,             0.00051413,             0.00051413
                     60,                0.38383,                0.39341,                 1.4707,                0.78283,                0.53583,                  0.875,                0.72658,                0.67632,                0.53583,                  0.875,                0.72658,                0.62552,                0.33209,                      0,                 2.9547,                0.51731,             0.00050863,             0.00050863,             0.00050863
                     61,                0.38095,                 0.4189,                 1.4488,                0.77695,                0.53306,                0.82715,                0.72263,                0.67233,                0.53306,                0.82715,                0.72263,                0.61761,                0.33305,                      0,                 2.9078,                0.51718,             0.00050313,             0.00050313,             0.00050313
                     62,                0.39529,                0.39396,                 1.4497,                0.77976,                0.56552,                 0.8513,                0.71707,                0.66733,                0.56552,                 0.8513,                0.71707,                0.61001,                0.35746,                      0,                 2.9163,                0.51862,             0.00049763,             0.00049763,             0.00049763
                     63,                0.39908,                0.38547,                 1.4849,                0.78554,                0.58047,                0.84097,                0.72978,                0.67487,                0.58047,                0.84097,                0.72978,                0.62239,                0.34098,                      0,                 2.8469,                0.51772,             0.00049214,             0.00049214,             0.00049214
                     64,                0.37643,                0.37672,                 1.4369,                0.77836,                0.56663,                0.88584,                0.72375,                0.67185,                0.56663,                0.88584,                0.72375,                  0.628,                0.34065,                      0,                 2.8949,                0.51572,             0.00048664,             0.00048664,             0.00048664
                     65,                0.38322,                0.38246,                 1.4266,                0.77937,                0.57236,                0.88479,                0.72515,                 0.6746,                0.57236,                0.88479,                0.72515,                0.63688,                0.34911,                      0,                 3.0104,                0.51542,             0.00048114,             0.00048114,             0.00048114
                     66,                0.39167,                0.39109,                 1.4164,                0.77878,                0.54874,                0.89059,                0.74517,                0.69585,                0.54874,                0.89059,                0.74517,                0.65082,                0.35064,                      0,                 2.9888,                0.51434,             0.00047564,             0.00047564,             0.00047564
